cpu,memory,memory_swap_in,memory_swap_out,disk_request_read,disk_request_write,interface_bytes_in,interface_bytes_out,interface_packets_in,interface_packets_out,label,label2
25.05,227.0,0.0,0.0,0.0,0.8,109246.42,868666.64,1192.08,1087.12,0,0
24.67,219.0,0.0,0.0,0.0,7.56,121683.33,939078.16,1256.5,1221.26,0,0
24.89,211.0,0.0,0.0,0.0,7.65,125973.72,997654.52,1252.16,1261.19,0,0
28.42,211.0,0.0,0.0,0.0,0.42,113451.97,970423.94,1141.15,1161.82,0,0
26.44,211.0,0.0,0.0,0.0,0.39,127283.29,955365.41,1427.79,1267.82,0,0
27.44,211.0,0.0,0.0,0.0,0.7,121924.63,919139.32,1280.12,1213.77,0,0
27.24,211.0,0.0,0.0,0.0,7.19,122772.24,904009.99,1218.31,1163.44,0,0
28.32,211.0,0.0,0.0,0.0,6.9,128071.27,932640.38,1245.13,1234.96,0,0
28.15,211.0,0.0,0.0,0.0,0.4,119677.11,1014317.26,1327.83,1248.13,0,0
26.41,211.0,0.0,0.0,0.0,0.4,122273.49,956702.83,1216.8,1237.89,0,0
26.76,211.0,0.0,0.0,0.0,0.4,124892.27,869353.13,1245.02,1298.59,0,0
26.15,211.0,0.0,0.0,0.11,1.6,121136.43,949182.76,1335.78,1333.94,0,0
26.12,211.0,0.0,0.0,0.11,7.21,121276.67,949925.84,1258.41,1179.95,0,0
25.58,211.0,0.0,0.0,0.0,0.4,125571.99,957554.61,1352.86,1269.29,0,0
27.95,211.0,0.0,0.0,0.0,0.4,122316.02,955365.41,1281.49,1228.05,0,0
24.1,218.0,0.0,0.0,0.0,0.39,132175.41,954696.85,1251.46,1249.31,0,0
27.6,218.0,0.0,0.0,0.0,0.88,118725.33,983657.35,1340.4,1242.07,0,0
24.91,218.0,0.0,0.0,0.0,9.06,129127.54,972243.89,1340.46,1284.94,0,0
26.08,218.0,0.0,0.0,0.0,8.63,130062.13,1011036.09,1290.2,1247.34,0,0
26.57,218.0,0.0,0.0,0.0,0.4,118661.86,944816.0,1226.63,1185.32,0,0
25.99,214.5,0.0,0.0,0.0,0.4,117895.99,903571.92,1254.76,1226.51,0,0
26.75,211.0,0.0,0.0,0.0,0.6,130600.21,944587.28,1285.34,1254.64,0,0
25.0,211.0,0.0,0.0,0.0,0.67,110712.81,947442.38,1239.7,1183.87,0,0
28.86,211.0,0.0,0.0,0.0,0.37,125447.46,1068819.71,1416.92,1273.7,0,0
26.32,218.0,0.0,0.0,0.0,16.56,127273.55,910474.18,1210.62,1222.44,0,0
24.67,214.5,0.0,0.0,0.0,0.42,122422.51,996683.41,1269.29,1223.34,0,0
28.91,211.0,0.0,0.0,0.0,0.6,126453.88,961580.17,1281.56,1236.5,0,0
28.24,211.0,0.0,0.0,0.0,0.66,131330.64,916837.8,1285.84,1256.94,0,0
